id,Preferred Name,Industry,Job Title,Job Tags,Job Tags Broad,Job Description,STEEP Change 1,STEEP Change 2,STEEP Change 3,STEEP Combined,STEEP Reason 1,STEEP Reason 2,STEEP Reason 3,Combined Signals,Archetype,Future - Litany,Future - Job Title,Future - Systems,Future - Metaphor,Feedback,How got to know,tags
621e28f7fd59823e9276c011,Ying,Education,Community Developer,education,Education / Development,I connect communities doing good work and support them in their social enterprise journey,Social,Environmental,Political,"Social,Environmental,Political",Polarising and bias views,Unsustainable use of resources,War and decentralisation of power,"polarised views,depleting resources,war,decentralisation",Discipline,"She is walking around and chatting with people, with the use of augmented reality in her hands.",Connector,"The desensitisation of society, and the lack of data as to how people really feel and think as an individual",A world of opposite ends,,I got to know of this through the Common Ground community,
6229c45164dfc519d26836d0,Wan Yi,Healthcare tech,Product designer,"healthcare,tech,design",Healthcare,Design digital products to support public/private healthcare,Environmental,Technological,Social,"Environmental,Technological,Social","climate change, depletion of natural resources, extinction of animals species","hyperconnected globalised world, reduced emphasis on real world connections, dissociation with identity","non-nuclear family structures, less emphasis on reproduction, declining birth rates","climate change,depleting resources,loss of biodiversity,globalisation,dissociation of identity,blurring of physical and virtual worlds,non-nuclear family structures,decreased birthrate",Discipline,"designing/creating things happen instantly, products can appear fully functioning. work is done in the mind.",designer,ever changing needs,web,,DesignSG telegram group,
621e2cfe1b58867b234d1814,Saman,Education,Trainer / Facilitator,education,Education / Development,design experiences for effective learning & self-development,Economic,Political,Environmental,"Economic,Political,Environmental","digital workplaces, globalisation",political ideologies,"climate change, people adapting to attitudes towards shift in available resources","digitalisation,digital nomad,globalisation,political ideologies,climate change,depleting resources",Discipline,"facilitating a session with global participants yet managing the limits of the online space. innovation tapping into devices, tools, channels far more advance and sophisticated than current. yet balancing with supporting participants who may be struggling with new tech",facilitator,"more interconnectedness , less barriers to connecting",juggling 🤹‍♂️ forces of past and upcoming trends,,CG,
62159c92a3f537137d343e85,E,Arts and Culture,PM,arts,Arts / Design / Creative,"Managing time, money and talent",Environmental,Political,Technological,"Environmental,Political,Technological",Climate,Nationalism,Siren Servers,"climate change,nationalism,siren servers",Discipline,"Their work is primarily negotiating with others what steps to take. They are overworked. Use AI to run simulations to support or refute courses of action, or find talent.",PM,There are always going to be projects to manage,Switch board operations,,,"Reflections yes,John student"
622742661704b13ff64b057c,N,Design,Experience Designer,design,Arts / Design / Creative,I am a storyteller,Environmental,Political,Social,"Environmental,Political,Social",There's a limit to the forest we should cut down,This limit and way of thinking we can just keep destroying has to be mitigated from a systematic level,Social structures changing from bottom up alongside Political change will make an effective Disciplined future,depleting resources,Discipline,They are tired,Anarchist,The Disciplined future failed. Protests became riots which became uncontrollable,Post-climate change survivor,,Previous employer,
621ed8ee55e1460f833ec261,S,Finance,Project manager,finance,Finance,Measure and manage initiatives,Environmental,Social,Technological,"Environmental,Social,Technological",Depletion of natural resources,Stagnating population growth,Stagnation in current innovation,"depleting resources,stagnating population growth,stagnating growth,stagnating innovation",Discipline,In a home office,Implementor,"More direct job titles and slightly more advanced tech, but no major change in work structure",Waiting for godot,"This bot was characterised as a story at the beginning, but it felt more like a survey and so wasnt very enjoyable",NA,
621ecaf7bb11aa5b321a837b,April,Hazardous Waste,Human Resource Business Partner,hazardous waste,Environment,"I support the people that do the work by answering questions around pay, benefits, career, and growth.",Political,Technological,Social,"Political,Technological,Social",The war between Russia and Ukraine. The shift in the span of government control within the US.,Technology that promotes sustainability and mental health.,The increase in awareness around mental health. The sense of global community.,"war,decreased trust in governments,increased sustainability,increased mental health,global community",Discipline,The person is outside sitting on a bench in what looks like a well put together park. Floating in front of her is a small screen with a face on it talking about their work. She is quickly able to enter notes about this person by simply looking to the left of the screen. The words in her mind appear as she thinks through what the person on the screen is telling her. After a quick goodbye she flicks her hand up and the screen disappears. She gets up from the bench and presses on her sunglasses to shade darker and call the manager who’s name she is saying out loud.,Human Specialist,Most of the work that is done at this point is automated. There are very few humans that work and those that do work need constant learning to ensure they can keep up. She is there to ensure those few humans have what they need. Mental health is a key objective in her line of work. She studies each employees mental health regularly by checking in on them. She also works with people managers to ensure schedules are maintained and that new laws and regulations supporting employees are adhered to.,Work is a means of growth but not of life.,,I am a student at University of Houston in the Foresight program.,
621e0738a4b99c02db07393e,Joash,Fintech,UI UX Design intern,"finance,design,tech",Finance,I'm a full-time student and an aspiring UI UX designer.,Technological,Environmental,Social,"Technological,Environmental,Social","Increased use of Blockchain technology, increased use of technology to spy and conduct surveillance on people and the converse, to safeguard privacy.",Increased use of technology means an increased demand for resources and means to construct and build such technologies,Humans will be separated from each other via the technology we create,"blockchain,increased surveillance,privacy concerns,depleting resources,decreased physical interaction",Discipline,"This person is very individualistic and motivated by self-interest. There is a general air of distrust towards the colleagues that this person is not close to. This person is very technologically savvy, they utilise different tools and gadgets to complete or enhance the efficiency of their work.",General Technologist Executive,Increased use of technology and penetration rates of technology,Dystopian,,Telegram,
621e4089dd1dc1303705025d,Xinran,-,Student,student,Education / Development,-,Environmental,Political,Social,"Environmental,Political,Social","Depleting resources, extreme weather patterns and natural disasters resulting in mass displacement","Public outrage and pressures resulting from those listed in env, also clashing political ideologies and slow pace of legal/policy changes, also constant change of leadership so progress is continuously undone by successor","Polarised views fed by media and politicisation of issues, Aging population","depleting resources,extreme weather,natural disasters,mass displacement,civil unrest,political ideologies,ineffective world leadership,polarised views,ageing population",Discipline,"Assuming this person is a young person from Singapore, they would possibly be studying but very involved in social and political issues. Or they could lose interest in further education and join the workforce given the high demand due to ageing population",Student / Youth Advocate / Youth Organiser,"Exacerbation of env/social/political issues, leading to increased public interest in policy Changes, hence social enterprises and advocacy groups grow in size and strength

Also outrage over slow actions global leaders",People is power,,Message from telegram and Instagram post :),Reflections yes
621ea911566e066e9b4be4d6,Mariel,Design,Industrial designer,design,Arts / Design / Creative,"I work with engineers, designing production robots",Political,Environmental,Technological,"Political,Environmental,Technological",Boldness of countries to invade one another. Threats and internal fighting within countries,Climate change and world hunger continues,Ethics in the technology we use,"war,civil unrest,climate change,world hunger,technology ethics",Discipline,Technology advancement is so great that robots now have the social intelligence that of animals,Robot whisperer,Technology advancement is so great that robots now have the social intelligence that of animals,Hope is on the horizon,,Awesome!,Reflections yes
62217153b3309273de44dc59,Gayatri,Technology,Head of Product,tech,Computing / ICT,I solve customer problems which benefits all including my business.,Social,Environmental,Political,"Social,Environmental,Political","Economic, Social and Political",Depleting resources,"War, Politics and polarization across world","depleting resources,war,polarised views",Discipline,"Well, it's evening in my timezone. Assume person is in same location as me, is working with family and spending leisure time. Watching TV.","Oh work wise. Titles are mess now, I want to see it's better understood and is standardized. Head is called Chief, VP, Sr. Director, Principal. By 2021, it should be just one definition across the industry.","I am biased that Product role brings much needed customer orientation and change in Technology. It would even be more relevant as people adopt new VR, XR, IOT, NFT worlds and need someone like this role to understand their issues, technical, social, ethical - all holistically to solve. As we will get even more isolated with new virtual worlds and tech dependence sadly will increase, not decrease.",Zindagi na milegi dobara (translation. Live life once and to fullest),Bye,From Tamas M. - my favorite colleague and UX researcher LI feed.,
621e04eb4bfec76537476c40,kaz,FinTech,UX Research Lead,"finance,research",Finance,I provide research insights to a FinTech companies,Environmental,Social,Technological,"Environmental,Social,Technological","Climate Change
Less water
Need for prudent use of resources","Aging population
Urbanization = less population working in rural food production
Birth control/child policies","Regulated use of VR, AR, IoT and Blockchain to prevent corruption, privacy offenses","climate change,depleting resources,access to clean water,ageing population,urbanisation,decreased birthrate,virtual reality,augmented reality,iot,blockchain,corruption,privacy concerns",Discipline,Research but in a 2100 context,Research Insights?,More digital solutions,An open book,,,
6241892a313b91718b6e8569,Tuskoriented,Government,Designer,"public service,design",Public Service,I help to make life better for Singaporeans by designing new services and products,Economic,Environmental,Technological,"Economic,Environmental,Technological","Tightened restrictions around import and export, increased nationalistic policies, reduced access to critical natural resources","Global warming, depletion of natural resources, increased challenges for agriculture and farming, constraints around energy production","Moore’s law being challenged, decreased rate of innovation, increased complexity and proliferation of systems","nationalism,depleting resources,global warming,decreased energy sources,decreased farming,food security,decreased innovation",Discipline,"The person is trying very hard to secure the resources they need to support compassionate “grey areas” of citizen need.

Even as resources are increasingly scarce, there is a pressing and urgent need to triage and prioritise where governments invest, and the rules and policies that govern distribution of these resources.

With a range of daily problems, requests and complaints streaminghow in to the government everyday, somebody has to make sense of how to group, prioritise and tackle these problems.

Every team within the government has its own limited resources and constraints. There is a need to coopt the attention and interest of these other teams with the promise of a good outcome.

Good outcomes are defined by their ability to contribute to measurable citizen satisfaction, and to positive affect towards civic services.

A range of guerilla Robin Hood-style community organisations have sprung up, with the nimbleness to speedily tackle problems and break the rules to make quick fixes.

One of your personal beliefs is that their engagement is vital to helping to solve some of the issues that are coming up. You’re keen to understand how these partnerships might happen, and open to doing so quietly and experimentally.

Another pattern that is providing hope is increased ability for frugal innovation and ground-up efforts at scrounging and recycling existing resources. You wonder if there is a way to open-source some of the existing “dead systems” and abandoned code that exists within the government, so that independents can make use of this “waste” infrastructure.",Resource and Allegiance Coordinator,"After the proliferation of data and wealth in the 2000s, the earth hit a point of resource famine. Since then, there is increased scarcity among resources, and governments have had to prioritise their interventions.

Increased civic discontentment has resulted in a need for agents who can broker deals with self-organised groups of citizens who are agitating for change and different priorities.

There is a need for a coordinator to align their allegiances to that of the government, by ensuring that resources are shared and allocated in a meaningful way.

This restores the sense of connectedness and possibility within an otherwise fraught society.","The world is a tapestry that’s resolving itself into a series of tangled tassels. My job is to make sure that the damaged tassels are reconnected to the main tapestry, and to do that restoration work.",,DesignSG group + Linkedin!,
621f841794a00119fe003b80,Andrea,Waste,Human Resources Generalist,hazardous waste,Environment,"Guide managers on how to engage, utilize, and hold their team members accountable.",Environmental,Economic,Technological,"Environmental,Economic,Technological",Overutilization of non-renewable natural resources,Disagreement between political parties in the US,"Technology is advancing so quickly, I can't even imagine what the world will look like in 10 years let alone 80","depleting resources,shifting political powers,polarised views",Discipline,This person interacts via the metaverse with team members all over the world. There are no more corporate offices - collaboration and meetings are done virtually. The work week has decreased to 4 days per week to get the best out of team members and provide a better work life balance. Minimum wage level jobs have been replaced with automation (robots) and most people got into the tech field. The industry I work in struggles to find blue collar labor and more automation has been introduced to make up for the labor shortage.,Resource Partner,"lack of human resources, and utilization of non-human resources",Work hard play hard,,,
